word,content
honda,"[97] It was followed by the Honda Accord Hybrid, offered in model years 2005 through 2007."
honda,"Sales of the Honda CR-Z began in Japan in February 2010, becoming Honda's third hybrid electric car in the market."
honda,"[101] As of February 2011[update], Honda was producing around 200,000 hybrids a year in Japan."
honda,"[103] The European version, called Honda Jazz Hybrid, was released in early 2011."
honda,"[104] During 2011 Honda launched three hybrid models available only in Japan, the Fit Shuttle Hybrid, Freed Hybrid and Freed Spike Hybrid."
honda,"[105][106] As of June 2014[update], Honda has sold more than 1.35 million hybrids worldwide."
honda,"[99][105][106] Hydrogen fuel cell Honda FCX Clarity hydrogen fuel cell vehicle In Takanezawa, Japan, on 16 June 2008, Honda Motors produced the first assembly-line FCX Clarity, a hybrid hydrogen fuel cell vehicle."
honda,In July 2014 Honda announced the end of production of the Honda FCX Clarity for the 2015 model.
engine,The FCX Clarity also has an advantage over gas-electric hybrids in that it does not use an internal combustion engine to propel itself.
honda,[108] Honda will release the vehicle in groups of 150.
honda,"[109][110] Honda views hydrogen fuel cell vehicles as the long-term replacement of piston cars, not battery cars."
honda,[111] Plug-in electric vehicles Honda Fit EV concept unveiled at the 2010 Los Angeles Auto Show.
honda,The all-electric Honda EV Plus was introduced in 1997 as a result of CARB's zero-emissions vehicle mandate and was available only for leasing in California.
honda,[112][113] The all-electric Honda Fit EV was introduced in 2012 and has a range of 82 mi (132 km).
honda,[119] In July 2014 Honda announced the end of production of the Fit EV for the 2015 model.
honda,[107] The Honda Accord Plug-in Hybrid was introduced in 2013 and has an all-electric range of 13 mi (21 km)[120] Sales began in the U.S. in January 2013 and the plug-in hybrid is available only in California and New York.
honda,"[122] Marketing Japanese marketing Honda Clio (Saitama, Japan) Starting in 1978, Honda in Japan decided to diversify its sales distribution channels and created Honda Verno, which sold established products with a higher content of standard equipment and more sporting nature."
honda,"[123][124] The establishment of Honda Verno coincided with its new sports compact, the Honda Prelude."
honda,"Later, the Honda Vigor, Honda Ballade, and Honda Quint were added to Honda Verno stores."
honda,"Honda Primo (Osaka) As sales progressed, Honda created two more sales channels, called Honda Clio in 1984, and Honda Primo in 1985."
honda,"The Honda Clio chain sold products that were traditionally associated with Honda dealerships before 1978, like the Honda Accord, and Honda Primo sold the Honda Civic, kei cars such as the Honda Today, superminis like the Honda Capa, along with other Honda products, such as farm equipment, lawnmowers, portable generators, and marine equipment, plus motorcycles and scooters like the Honda Super Cub."
honda,"A styling tradition was established when Honda Primo and Clio began operations in that all Verno products had the rear license plate installed in the rear bumper, while Primo and Clio products had the rear license plate installed on the trunk lid or rear door for minivans."
honda,"Honda Verno (2008) As time progressed and sales began to diminish partly due to the collapse of the Japanese ""bubble economy"", ""supermini"" and ""kei"" vehicles that were specific to Honda Primo were ""badge engineered"" and sold at the other two sales channels, thereby providing smaller vehicles that sold better at both Honda Verno and Honda Clio locations."
honda,"As of March 2006, the three sales chains were discontinued, with the establishment of Honda Cars dealerships."
honda,"[126] While the network was disbanded, some Japanese Honda dealerships still use the network names, offering all Japanese market Honda cars at all locations."
honda,"Honda Wing motorcycle dealership (Japan) Honda sells genuine accessories through a separate retail chain called Honda Access for both their motorcycle, scooter, and automobile products."
honda,"In cooperation with corporate group partner Pioneer, Honda sells an aftermarket line of audio and in-car navigation equipment that can be installed in any vehicle under the brand name Gathers, which is available at Honda Access locations as well as Japanese auto parts retailers, such as Autobacs."
honda,Buyers of used vehicles are directed to a specific Honda retail chain that sells only used vehicles called Honda Auto Terrace.
honda,"In the spring of 2012, Honda in Japan introduced Honda Cars Small Store (Japanese) which is devoted to compact cars like the Honda Fit, and kei vehicles like the Honda N-One and Honda S660 roadster."
honda,"All cars sold at Honda Verno Prelude, Integra, CR-X, Vigor, Saber, Ballade, Quint, Crossroad, Element, NSX, HR-V, Mobilio Spike, S2000, CR-V, That's, MDX, Rafaga, Capa, and the Torneo All cars sold at Honda Clio Accord, Legend, Inspire, Avancier, S-MX, Lagreat, Stepwgn, Elysion, Stream, Odyssey (int'l), Domani, Concerto, Accord Tourer, Logo, Fit, Insight, That's, Mobilio, and the City All cars sold at Honda Primo Civic, Life, Acty, Vamos, Hobio, Ascot, Ascot Innova, Torneo, Civic Ferio, Freed, Mobilio, Orthia, Capa, Today, Z, and the Beat International marketing A Honda dealership in Ontario, Canada A Honda Dealership in Dreghorn, Scotland In 2003, Honda released its Cog advertisement in the UK and on the Internet."
honda,"To make the ad, the engineers at Honda constructed a Rube Goldberg Machine made entirely out of car parts from a Honda Accord Touring."
honda,"The advertisement depicted a single cog which sets off a chain of events that ends with the Honda Accord moving and Garrison Keillor speaking the tagline, ""Isn't it nice when things just..."
honda,"In December 2005, Honda released The Impossible Dream a two-minute panoramic advertisement filmed in New Zealand, Japan, and Argentina which illustrates the founder's dream to build performance vehicles."
racing,"While singing the song ""Impossible Dream"", a man reaches for his racing helmet, leaves his trailer on a minibike, then rides a succession of vintage Honda vehicles: a motorcycle, then a car, then a powerboat, then goes over a waterfall only to reappear piloting a hot air balloon, with Garrison Keillor saying ""I couldn't have put it better myself"" as the song ends."
honda,"In 2006, Honda released its Choir advertisement, for the UK and the internet."
honda,This had a 60-person choir who sang the car noises as the film of the Honda Civic is shown.
honda,"The casual-looking man talked about various deals offered by Honda and ended with the phrase ""I'm Mr."
honda,"In late 2006, Honda released an ad with ASIMO exploring a museum, looking at the exhibits with almost childlike wonderment (spreading out its arms in the aerospace exhibit, waving hello to an astronaut suit that resembles him, etc."
honda,Honda also sponsored ITV's coverage of Formula One in the UK for 2007.
racing,"In May 2007, focuses on their strengths in racing and the use of the Red H badge – a symbol of what is termed as ""Hondamentalism""."
honda,"The campaign highlights the lengths that Honda engineers go to in order to get the most out of an engine, whether it is for bikes, cars, powerboats – even lawnmowers."
honda,Honda released its Hondamentalism campaign.
honda,"In the TV spot, Garrison Keillor says, ""An engineer once said to build something great is like swimming in honey"", while Honda engineers in white suits walk and run towards a great light, battling strong winds and flying debris, holding on to anything that will keep them from being blown away."
honda,"At the beginning of 2008, Honda released – the Problem Playground."
honda,"[128] In 2009, American Honda released the Dream the Impossible documentary series, a collection of 5- to 8-minute web vignettes that focus on the core philosophies of Honda."
honda,"They have Honda employees as well as Danica Patrick, Christopher Guest, Ben Bova, Chee Pearlman, Joe Johnston and Orson Scott Card."
honda,"In the UK, national television ads feature voice-overs from American radio host Garrison Keillor, while in the US the voice of Honda commercials is actor and director Fred Savage."
honda,"In the North American market, Honda starts all of its commercials with a two-tone jingle since the mid-2010s."
honda,Sports The late F1 driver Ayrton Senna stated that Honda probably played the most significant role in his three world championships.
honda,"He had immense respect for founder, Soichiro Honda, and had a good relationship with Nobuhiko Kawamoto, the chairman of Honda at that time."
honda,"Senna once called Honda ""the greatest company in the world""."
honda,"[129] As part of its marketing campaign, Honda is an official partner and sponsor of the National Hockey League, the Anaheim Ducks of the NHL, and the arena named after it: Honda Center."
honda,Honda also sponsors The Honda Classic golf tournament and is a sponsor of Major League Soccer.
honda,"One of the twelve Honda Sports Award winners is chosen to receive the Honda-Broderick Cup, as ""Collegiate Woman Athlete of the Year."""
honda,Honda sponsored La Liga club Valencia CF starting from 2014–15 season.
honda,"[130] Honda has been a presenting sponsor of the Los Angeles Marathon since 2010 in a three-year sponsorship deal, with winners of the LA Marathon receiving a free Honda Accord."
honda,"Since 1989, the Honda Campus All-Star Challenge has been a quizbowl tournament for Historically black colleges and universities."
honda,"Facilities (partial list) Main article: List of Honda facilities US sales Calendar year Total US sales[131] 1992 768,845 1993 716,546 1994 788,230 1995 794,579 1996 843,928 1997 940,386 1998 1,009,600 1999 1,076,893 2000 1,158,860 2001 1,207,639 2002 1,247,834 2003 1,349,847 2004 1,394,398 2005 1,462,472 2006 1,509,358 2007 1,551,542[132] 2008 1,284,261[132] 2009 1,150,784[133] 2010 1,230,480[133] 2011 1,147,000[134] 2012 1,422,000[134] 2013 1,525,312[135] 2014 1,540,872 2015 1,586,551[136] 2016 1,637,942[137] 2017 1,641,429[138] 2018 1,604,828[139] 2019 1,608,170[139] Production numbers Calendar year Global production 2009 3,012,000[140] 2010 3,643,000[140] 2011 2,909,000[134] 2012 4,110,000[134] 2013 4,112,000[141] 2014 4,513,769[142] 2015 4,543,838[143] 2016 4,999,266[144] 2017 5,236,842[145] 2018 5,357,013[146] See also Tokyo portal Companies portal Comparison of Honda water-pumps Honda advanced technology Honda Airport Honda Battle of the Bands Honda G-Con Honda F.C., football (soccer) club Honda Heat, rugby union club Honda in motorsport Honda Performance Development Honda Type R List of Honda assembly plants List of Honda transmissions Internavi Notes ^ a b c d e f ""Financial Results: Honda Motor Company"" (PDF)."
motorcycle,"""FIRST MOTORCYCLE AIRBAG EARNS TAKATA AND HONDA 2008 AUTOMOTIVE NEWS PACE INNOVATION PARTNERSHIP AWARD""."
honda,"^ ""Harga Honda Mobilio""."
motorcycle,"^ a b c d e f g h i j k l Alexander, Jeffrey W. (2008), Japan's Motorcycle Wars: An Industry History, UBC Press, pp."
honda,Honda Motorcycles.
honda,"^ a b Falloon, Ian (2005), The Honda Story, Haynes, pp."
honda,"), Honda Motor: the men, the management, the machines, Kodansha, ISBN 978-0-87011-522-6 ^ ""1951 Honda Dream Type D""."
honda,"""1998 executive of the year – Honda Motor Co. president Nobuhiko Kawamoto""."
honda,"^ ""The History of Honda Motor Company""."
honda,"^ LaReau, Jamie L. ""GM forms alliance with Honda to develop future products in North America""."
honda,"""Markham saves Honda deal""."
honda,"""1965 Honda T500F Flat Bed Utility""."
honda,"^ ""Report: Honda planning to double hybrid sales in Japan to more than 20% next fiscal year""."
honda,"^ ""India becomes largest 2 wheeler markt for Honda globally, dethrones Indonesia""."
racing,"^ ""Honda Racing Engines""."
engine,"^ ""HONDA GY6 ENGINE 50cc to 150cc""."
honda,"^ ""Honda to Discontinue Operations of Honda Soltec, a Photovoltaic Subsidiary"" (Press release)."
honda,Honda Racing F1.
honda,"""Formula 1: Honda to return in 2015 as McLaren engine supplier""."
honda,"^ ""2009 Honda Civic GX Natural Gas Vehicle""."
honda,Honda (Brazil).
honda,"""Testes: Honda Civic EXS Flex x Honda Civic EXS"" (in Portuguese)."
honda,"""Versão Flex do Honda Fit chega na sexta por R$46.340"" (in Portuguese)."
honda,^ a b c d Honda Press Release (15 October 2012).
honda,"""Cumulative worldwide sales of Honda hybrids passes 1 million units""."
honda,"Honda sold 187,851 hybrids in 2013."
honda,"Honda sold 158,696 hybrids during the first six months of 2014."
honda,"""Latest Honda Runs on Hydrogen, Not Petroleum""."
honda,^ Honda Media Room (6 June 2012).
honda,"""2013 Honda Fit EV receives EPA fuel economy rating of 118 MPGe; highest yet""."
honda,^ Honda News (31 August 2012).
honda,"""2014 Honda Accord Plug-In Hybrid Priced Sub-$41K, 115 MPGe""."
honda,"""2014 Honda Accord Plug-in Hybrid Now Available in Calif. And New York""."
honda,^ Honda News (21 June 2013).
honda,"^ Honda 国内四輪 新販売チャネル施策と、アキュラブランド導入を発表 Honda公式サイト 2005年12月14日 ^ Honda｜会社案内｜会社概要｜Hondaのグローバル展開｜日本 Honda公式サイト ^ ""Model lineup: Renault Lutecia presentation"" (in Japanese)."
honda,"""Plane used in Honda skydiving ad crashes in Spain, Media""."
honda,"^ a b ""Honda Media Newsroom – Headlines – American Honda Reports 2008 Annual and December Monthly Sales""."
honda,"^ a b ""Honda Media Newsroom – Headlines – American Honda December Sales Up 25.5 Percent""."
honda,"^ a b c d ""2012 Honda SALES & PRODUCTION RESULTS""."
honda,"^ ""American Honda Sets New All-Time Annual Sales Record""."
honda,Honda Newsroom.
honda,"^ ""American Honda Sets All-Time Sales Records Powered by Demand for Cars and Trucks""."
honda,Honda Newsroom.
honda,"^ ""American Honda Sets 3rd Straight Annual Sales Record with Best-Ever December for Trucks""."
honda,"^ a b ""Record Light Truck Sales Lift AHM and Honda Brand to Sales Increases in 2019""."
honda,"^ a b ""2010 Honda SALES & PRODUCTION RESULTS""."
honda,"^ ""2013 Honda SALES & PRODUCTION RESULTS""."
honda,"References ""Move Over, Volvo: Honda Sets New Safety Standard for Itself"", an article in the ""News"" section of the March 2004 issue of Motor Trend, on page 32 ""Annual Reports""."
honda,Honda Motor Co.
honda,"Honda Honda's Midlife Crisis: Honda's slipping market position and views of Fukui Takeo (Chief Executive magazine, December 2005 issue) Honda's Corporate History External links Wikimedia Commons has media related to Honda."
honda,"FinanceBloombergReutersSEC filingsNasdaq Wikiquote has quotations related to: Honda Official website Honda Press Library (Japanese, but with graphical timelines of car and bike models) Honda Automobiles at Curlie Honda Motorcycles at Curlie ""Company history books (Shashi)""."
honda,"Wiki collection of bibliographic works on Honda vteHonda Motor CompanyDivisions andsubsidiaries Acura American Honda Honda Australia Honda Canada Canada Manufacturing Aircraft Performance Development India Motorcycles Indonesia Racing Corporation Racing F1 Taiwan China (65%) UK Joint venturesand shareholdings Astra Honda Motor (50%) Dongfeng Honda (50%) GE Honda Aero Engines (50%) Guangqi Honda (50%) Everus Mobilityland (100%) HondaCars Accord/Inspire Amaze Brio City/Ballade Civic Civic Si Civic Type R Clarity Crider/Envix e Fit/Jazz/Life Insight Legend NSX Pickup trucks Ridgeline Crossovers/SUVs Avancier/UR-V BR-V CR-V/Breeze Passport Pilot Vezel/HR-V/XR-V WR-V Vans Elysion Freed Jade Mobilio Odyssey (international) Odyssey (North America) Shuttle Stepwgn Kei cars N-Box N-One N-Van N-WGN S660 Historic anddiscontinued 1300 Airwave/Partner Ascot Ballade Beat Capa City/Jazz CR-X CR-X del Sol CR-Z Crossroad Crosstour Concerto Domani Element EV Plus FR-V/Edix Gienia Grace Greiz Horizon Integra LaGreat Life Dunk Life Logo Mobilio Spike N360 N600 Orthia/Partner Prelude Quint Rafaga S500 S600 S800 S2000 S-MX Spirior Stream T360/T500 That's Today Torneo Tourmaster Vamos/Vamos Hobio Z Zest Racing Curtiss Special R800 R1300 RA270 RA271 RA272 RA273 RA300 RA301 RA302 RC100 RA099 RA106 RA107 RA108 Spirit 201 201C Williams FW09 FW09B FW10 FW11 FW11B Lotus 99T 100T McLaren MP4/4 MP4/5 MP4/5B MP4/6 MP4/6B MP4/7A MP4-30 MP4-31 MCL32 Tyrrell 020 BAR 002 003 004 005 006 007 Jordan EJ11 EJ12 Super Aguri SA05 SA06 SA07 SA08 Toro Rosso STR13 STR14 Red Bull Racing RB15 RB16 AlphaTauri AT01 HSV-010 GT Acura ARX-01 Acura ARX-02a HPD ARX-03 HPD ARX-04b Acura ARX-05 Concept Project 2&4 Argento Vivo CR-Z Concept CR-Z Concept 2009 Dualnote EV-N FC Sport FCV Concept 1999 FCX Concepts 2006 FCX concept HP-X HSC J-VX New Small Concept OSM Quilt Remix Small RS Spocket Sports EV U-3X Urban EV WOW SUT Concept BikesMotorcycles CB series CBF series CBR series CG125 CJ series CM/CMX series CR series CRF series CTX series CX series DN-01 Fury GL series NC700 series NR series NSR series RC series ST series VF/VFR series VT series VTX series XR/XL series XRE300 Transalp Africa Twin Deauville Bros/HawkGT NX250 Pacific Coast TL Series (Reflex) Valkyrie X4 Scooters Activa Aero Big Ruckus Dio Elite Express Helix Juno CHF50 Motocompo NH series PCX Reflex Ruckus Sparta Spree Ruckus/Zoomer Silver Wing Vision Other Ape CT series Cub F Cub series Gyro Integra NM4 Motra P50 PA50 PC50 ST series/Dax Z series Engines A-series B-series B20A C-series CVCC D-series E-series E07A F-series F20C G-series H-series J-series K-series L-series Circle L Diesel N-series Diesel P-engine R-series VTEC I-DSi Honda HI3R Honda HI4R Honda HI5R Honda HI6R Honda HI7R Honda HI8R Honda HI9R Honda HI10R Honda HI11R Honda HI12RT Honda HI13RT Honda HI14TT Honda HI15TT Honda HI16TT Honda HI17TT Honda HI18TT Robots Honda E series Honda P series ASIMO People Soichiro Honda Takeo Fujisawa Tadashi Kume Shoichiro Irimajiri Nobuhiko Kawamoto Takeo Fukui Tadao Baba Takahiro Hachigo Other List of Honda vehicles Automobiles Motorcycles Honda Type R Honda Collection Hall Honda FC Mugen Motorsports Keihin Corporation Showa Corporation Internavi Suzuka Circuit Twin Ring Motegi Super Aguri F1 Team Takuma Sato Gil de Ferran Jenson Button Geier v. American Honda Motor Co. Honda Motor Co. v. Oberg Honda Malaysia Racing Team {{Honda aircraft and aeroengines}} Category Commons Links to related articles vteHonda road car timeline, North American market, 1980s–present Type 1980s 1990s 2000s 2010s 2020s 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 Subcompact Insight Civic Civic Civic Civic Civic Fit Fit Fit Compact Insight Insight Accord Accord Accord Accord Civic Civic Civic Civic Mid-size Accord Accord Accord Accord Coupe Accord Accord FCX Clarity Clarity Full-size Accord Sedan Coupe Prelude Prelude Prelude Prelude Prelude Sport compact CR-X CR-X del Sol CR-Z Civic Type R Sports car S2000 Crossover Mini HR-V Compact Element CR-V CR-V CR-V CR-V CR-V Mid-size Crosstour Passport Pilot Pilot Pilot Sport utility vehicle Passport Passport Minivan Odyssey Odyssey Odyssey Odyssey Odyssey Pickup truck Ridgeline Ridgeline Notes Vehicle exclusive to Southern California (available for leasing purposes only) vteHonda motorcycle timeline, 1970s (street) - next » HondaList of Honda motorcycles Type 1970s 0 1 2 3 4 5 6 7 8 9 Scrambler CL175 CL200 CL350 CL360 CL450 Standard CB100 CB125S CB175 CB200 CM185 Twinstar CB250 CB350 CB360 CB400T CM400 CB350F CB400F CB450 CB500T CB500 Four CB550 CB650 CX500 CB750 Sport CB900F CBX Touring GL1000 Gold Wing MotoGP vte« previous - Honda motorcycle timeline, 1980s (street) - next » HondaList of Honda motorcyclesHonda Racing Corporation Type 1980s 0 1 2 3 4 5 6 7 8 9 Standard CG125 CD125 Benly CB125 Super Dream CB250N CB250 Nighthawk CB250RS VT250-FII VTR250 Interceptor VT250 Spada CB-1 CB400N Super Dream CB400T CB450SC/Nighthawk VF400F CX500/GL500 CX650/GL650 XBR500 GB500 Honda NT650 CB550SC/Nighthawk CB650 / CB650C CB650SC/Nighthawk CB700SC/Nighthawk CB750SC/Nighthawk CB750 C,F,K,SC CB900F CB1100F Sabre Sport NSR125 CBR250 CBR600F MVX250F Sport touring VF500F CBX550F VF750F VFR750F VF1000F CBX CBR1000F Touring PC800 GL1100 Gold Wing GL1200 Gold Wing GL1500 Gold Wing Cruiser CM200 Twinstar CMX250/Rebel CM400 CM450 CMX450/Rebel Shadow Magna CB900C CB1000C Dual-Sport NX250 NX650 XL600V/XL650V/XL700V Transalp XRV650/XRV750/Africa Twin vte« previous - Honda motorcycle timeline, 1990s (street) - next » HondaList of Honda motorcyclesHonda Racing CorporationRepsol Honda Type 1990s 0 1 2 3 4 5 6 7 8 9 Standard CG125 VTR250 (US) VTR250 (Asia-Pacific) GB500 CB500 twin CB250 Nighthawk CB750 Nighthawk CB-1/CB400F CB400SF NT650 Hawk CB600F Hornet, 599 CB1000SF CB1300SF Sport NSR125 CBR250 CBR600F CBR600F2 CBR600F3 CBR600F4 CBR900RR Fireblade VTR1000F Superhawk CBR1000F Hurricane CBR1100XX Super Blackbird Touring VFR750F VFR800 Interceptor PC800 Pacific Coast NT650V Deauville ST1100/Pan-European GL1500 Gold Wing Cruiser VT1100C VT1100C Shadow VT600C Shadow VT750C Shadow CMX250C Rebel CMX250C VF750C Magna GL1500C Valkyrie Dual-sport NX125 Transcity (US sales ended 1990) NX250 NX650 Dominator XL600V/XL650V/XL700V Transalp XRV650/XRV750/Africa Twin XL1000V Varadero vte« previous - Honda motorcycle timeline, 2000s–present Honda · List of Honda motorcycles · Honda Racing Corporation · Repsol Honda Type 2000s 2010s 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 Standard/Naked bike CG125 CBF125 CB125F CB125R MegaPro 1600 Verza 150 CB150 Verza MegaPro 150 CB150R Streetfire CB150R (Thailand) Tiger GL200/CBX200 Strada Tiger GL200 CB250 Nighthawk CB250F CB250R VTR250 VTR250FI CB300F CB300R CB400F CB400SF CB500 CBF500 CB500F CB600F Hornet, 599 CB650F CB650R CBF600 CB750 Nighthawk NC700S CB900F Hornet, 919 CB1000R CB1000R CBF1000 CBF1000F X11/CB1100SF CB1100 CB1300SF Cruiser/Chopper CMX250C Rebel CMX250 Rebel CMX300 Rebel CMX500 Rebel VT600C Shadow VLX NM4 Vultus VF750 Magna NSA700A DN-01 VT750C/VT750DC/VT750RS Shadow VT1100C Shadow VT1300CX Fury VT1100T Shadow Ace VTX1300 GL1500C Valkyrie VT1300CS Sabre VTX1800 Sport NSR125 CBR125R NSR150 CBR150R CBR250R CBR250RR CBR300R CBR400R CBR500R CBR600F4 CBR600F4i CBR600F CBR650F CBR650R CBR600RR CBR929RR CBR954RR CBR1000RR Fireblade RC51/VTR1000/RVT1000R VTR1000F Firestorm/SuperHawk (North American sales ended in 2005) CBR1100XX Super Blackbird (North American sales ended in 2003) Touring/Sport touring NT650V Deauville NT700V Deauville VFR800 Interceptor VFR1200F ST1100 Pan-European ST1300 Pan-European CTX1300 GL1500 Gold Wing GL1800 Gold Wing GL1800 Gold Wing Dual-sport/Off-road XL125V Varadero CRF150L XR200R XR250R CRF230X/CRF230L/CRF230M CRF250X/CRF250L XR400R CRF450X CRF450X CRF450L NX650 Dominator CB500X XR600R XR650R XR650L NC700X XL600V/XL650V/XL700V Transalp VFR800X Crossrunner XL1000V Varadero XRV650/XRV750 Africa Twin CRF1000L Africa Twin CRF1100L Africa Twin VFR1200X Crosstourer vte Automotive industry in Japan Automotive industry in Japan Economy of Japan Transport in Japan CompaniesVehicle producers Aspark ASL Duesen Bayern GLM Honda Acura Marusho Isuzu Jiotto Kawasaki Kawasaki Motorcycle & Engine Mazda Amati Autozam Ẽfini Eunos M2 Xedos Mitsubishi Mitsubishi Heavy Industries Mitsubishi Motors (66%) Mitsubishi Fuso (10.71%) Mitsuoka Nissan Cony Datsun Infiniti Kurogane Ohta Otomo Prince Shatai Tama Subaru Corporation Blitzen Subaru Suzuki Hope Toyota Daihatsu Scion Lexus Hino WiLL UD Trucks Yamaha Active Factories Toyota Factories Defunct Factories Zama Components Aisin Seiki Akebono Brake Bridgestone Calsonic Kansei Clarion Denso Fujitsu Ten GS Yuasa Hitachi HKS IHI Corporation Jatco JECS JTEKT Kawasaki Kayaba Industry Keihin Corporation Mabuchi Motor Mikuni Mitsuba Corporation Nachi-Fujikoshi NGK NHK Spring Nidec Nisshinbo Nissin Kogyo NSK NTN Corporation Piaa Shindengen Electric Manufacturing SHOWA Corporation Stanley Electric Sumitomo Riko Sumitomo Rubber Industries Takata Corporation THK Tokico Topy Industries Toyo Tire & Rubber Company Toyota Boshoku Tsubakimoto Chain Yanmar Yazaki Corporation Yokohama Rubber Company Zexel Motorsport andtuners 5Zigen Active A'PEXi Amuse Autech AutoSelect Blitz Car Make T&E Central 20 Dome Enkei Esprit Garage Fukui SPL GReddy HKS Honda Racing F1 Impul JAM JUN Auto Kansai Service Kojima Mazdaspeed Mine's Mugen Motorsports Nismo Rauh-Welt Begriff Rays Engineering RE Amemiya RS Watanabe SARD Spoon Sports Subaru Tecnica International Tanabe Speed Star Racing Tein Toda Racing Tomei Tommykaira Top Fuel Top Secret TOM'S Toyota Racing Development Uras Veilside WALD International WedsSport WORK Wheels Yashio Factory Services Autobacs Seven Yanase Imported Cars Related topics Japan Automobile Manufacturers Association Tokyo Motor Show Tokyo Auto Salon Used vehicle exporting J-NCAP National Highway Expressways Category Note: defunct companies and marques above are shown in italics vteMajor and notable Japanese motorcycle marquesCurrent Honda Kawasaki Suzuki Yamaha Defunct Abe (1928~31) Abe Star (1930~59) ACE Aero Aikoku Aichi Kikai Aioi (c.1950s) Aisan (c. 1950) Aiwa Motor Akebono (1953) Akitsu (c.1950s) All Nations (c.1950s) Amano (c.1950s) Asahi BF Motor BIM Blue Bird BM Bridgestone Brother Cabton Center Chiyoda Daihatsu Fuji Fujitsubo Giant Hirano Hodaka Hosk Hyogo Iwasaki Kurogane Kyoho Lilac Marusho Mazda Meguro Mitsubishi Miyata Mizushima NS New Era Nisshin Rikuo Shin Meiwa Showa Fujiya Tohatsu Yamaguchi vteTOPIX 100 companies of JapanCore 30 7&i Astellas Canon Denso FANUC Hitachi Honda JR Central JR East JT KDDI Mitsubishi Corporation Mitsubishi Estate Mitsui & Co Mitsui Fudosan Mizuho MUFG Murata Nissan Nomura NTT NTT Docomo Panasonic Shin-Etsu SoftBank Sony Sumitomo Mitsui Financial Takeda Tokio Marine Toyota Large 70 ÆON Ajinomoto ANA Asahi Breweries Asahi Kasei Bridgestone Chubu Electric Power Concordia Financial Dai-ichi Life Daiichi Sankyo Daikin Daito Trust Construction Daiwa House Daiwa Securities Eisai Fast Retailing Fujifilm Fujitsu Hoya Inpex Isuzu Itochu Japan Airlines JR West JFE JXTG Kao KEPCO Keyence Kirin Komatsu Kubota Kyocera Marubeni Mazda Mitsubishi Chemical Mitsubishi Electric Mitsubishi Heavy Industries MS&AD Nidec Nintendo Nitto Denko Nippon Steel Ono Pharmaceutical Oriental Land Orix Osaka Gas Otsuka Pharmaceutical Rakuten Resona Secom Sekisui House Shionogi Shiseido SMC Sompo Holdings Subaru Sumitomo Corporation Sumitomo Electric Sumitomo Metal Mining Sumitomo Chemical Sumitomo Mitsui Trust Sumitomo Realty Suzuki T&D Holdings Tokyo Electron Tokyo Gas Toray Toshiba Unicharm Yamato Transport vte Nikkei 225 companies of Japan 7&i Advantest ÆON AGC Ajinomoto Alps ANA Amada Aozora Bank Asahi Breweries Asahi Kasei Astellas Bandai Namco Holdings Bridgestone Canon Casio Chiba Bank Chiyoda Chuden Chugai Citizen Holdings Comsys Concordia Financial Credit Saison Dai-ichi Life Daiichi Sankyo Daikin Dainippon Screen Dainippon Sumitomo Pharma Daiwa House Daiwa Securities Denka Denso Dentsu DNP Dowa Ebara Eisai Fanuc Fast Retailing Fuji Electric Fujifilm Fujikura Fujitsu Fukuoka Financial Furukawa Group Furukawa Electric GS Yuasa Heiwa Real Estate Hino Hitachi Hitachi Construction Machinery Hitz Hokuetsu Paper Honda IHI INPEX Isetan-Mitsukoshi Isuzu Itochu JFE J."
